ANHO-MES,Homicidios,Hurtos,Lesiones leves,Lesiones menos graves- graves o gravísimas,Otros robos con fuerza,Robo con violencia o intimidación,Robo de objetos de o desde vehículo,Robo de vehículo motorizado,Robo en lugar habitado,Robo en lugar no habitado,Robo por sorpresa,Violaciones,Abandono de armas,Hallazgo de armas o explosivos,Otros ley de armas,Porte de armas,Tenencia ilegal de armas o explosivos,Amenazas,Comercio ambulante o clandestino,Consumo alcohol vía pública,Daños,Desórdenes,Ebriedad,Otras incivilidades,Riña pública,Ruidos molestos,Abigeato,Abusos sexuales y otros delitos sexuales,Violencia intrafamiliar a adulto mayor,Violencia intrafamiliar a hombre,Violencia intrafamiliar a mujer,Violencia intrafamiliar a niño,Violencia intrafamiliar no clasificado,Receptación,Robo frustrado
2005-1,0,249,100,44,25,44,34,4,61,53,18,3,0,0,0,0,4,20,48,3,106,19,50,6,0,0,1,6,0,9,95,1,0,1,3
2005-2,0,253,91,37,4,34,34,10,49,59,10,3,0,0,0,4,4,22,30,1,98,25,39,7,0,0,4,3,2,8,93,0,0,1,9
2005-3,2,242,107,31,8,44,41,1,40,49,10,1,0,0,0,1,4,33,36,4,93,39,36,7,0,0,2,6,0,7,122,0,0,0,4
2005-4,4,306,95,30,12,27,35,6,56,48,21,5,0,0,0,5,2,22,16,13,78,31,61,28,0,1,3,6,0,7,86,0,0,2,1
2005-5,0,268,107,29,12,41,39,5,80,66,12,5,0,0,0,1,3,13,30,1,124,38,44,6,0,1,2,4,1,5,80,1,0,3,3
2005-6,2,314,71,34,12,35,46,5,54,64,12,5,0,0,0,4,3,24,9,4,109,35,36,14,0,1,1,6,0,7,94,0,0,2,2
2005-7,1,309,88,30,26,52,47,4,66,67,17,4,0,0,0,2,1,24,17,0,113,47,63,28,0,1,3,9,1,3,110,1,0,2,6
2005-8,1,279,85,26,16,63,42,6,83,83,7,8,0,0,0,2,5,20,11,0,120,35,70,9,0,1,0,6,0,7,90,1,0,4,5
2005-9,0,289,81,36,16,41,36,0,48,63,7,4,0,0,0,1,1,20,15,6,108,41,74,10,0,1,3,9,1,6,103,1,0,4,5
2005-10,0,367,106,45,16,74,44,6,41,65,15,0,0,0,0,3,2,21,12,17,117,44,81,12,0,1,3,1,0,9,95,3,0,0,5
2005-11,0,324,118,38,20,34,41,3,55,71,20,10,0,0,0,1,2,23,25,3,108,42,50,12,0,1,2,6,2,13,102,2,0,4,5
2005-12,1,252,109,43,17,54,61,5,69,64,16,3,0,0,0,4,3,39,34,1,113,62,78,5,0,1,8,4,1,10,121,4,0,0,7
2006-1,4,212,108,24,14,35,28,5,26,57,5,4,0,0,0,2,0,27,8,6,112,34,61,4,0,3,3,6,0,16,131,3,0,1,9
2006-2,0,254,94,32,14,40,19,7,63,58,5,2,0,1,0,0,0,31,19,4,102,55,39,6,0,3,3,5,0,11,86,2,0,1,5
2006-3,3,239,91,24,20,39,33,8,67,78,15,5,0,0,0,1,0,44,23,5,104,65,39,9,0,1,5,9,0,12,115,3,0,1,3
2006-4,0,230,77,34,19,51,47,11,63,84,11,9,0,1,0,3,0,43,19,5,122,74,57,11,0,1,3,3,1,10,88,2,0,2,3
2006-5,1,273,88,21,27,55,71,13,88,87,21,4,0,0,0,3,0,48,19,5,137,102,56,9,0,2,2,8,0,14,116,3,0,6,3
2006-6,1,330,79,31,22,65,44,16,111,71,12,7,0,0,0,4,0,37,19,4,126,75,43,17,0,1,2,11,0,13,113,0,0,4,6
